20:58:44,	1460922376
20:58:54,	1460921560
20:59:04,	1460921424
20:59:14,	1460949464
20:59:24,	1460948528
20:59:34,	1460948216
20:59:44,	1460947600
20:59:54,	1460946992
21:00:05,	1460946704
21:00:15,	1460945032
21:00:25,	1460956080
21:00:35,	1460953440
21:00:45,	1460956456
21:00:55,	1460956496
21:01:05,	1460960808
21:01:15,	1460958208
21:01:25,	1460957904
21:01:35,	1460957928
21:01:45,	1460957432
21:01:55,	1460957432
21:02:05,	1460957296
21:02:15,	1460956616
21:02:25,	1460956608
21:02:35,	1460955968
21:02:45,	1460955800
21:02:55,	1460955784
21:03:05,	1460953736
21:03:15,	1460952888
21:03:25,	1460948776
21:03:35,	1460949016
21:03:45,	1460948440
21:03:55,	1460948432
21:04:05,	1460946376
21:04:15,	1460955440
21:04:25,	1460955432
21:04:35,	1460954552
21:04:45,	1460953112
21:04:55,	1460953104
21:05:05,	1460952976
21:05:15,	1460952736
21:05:25,	1460952728
21:05:35,	1460948504
21:05:45,	1460944184
21:05:55,	1460944192
21:06:05,	1460944176
21:06:15,	1460944088
21:06:25,	1460939880
21:06:35,	1460939872
21:06:45,	1460938048
21:06:55,	1460938032
21:07:05,	1460937920
21:07:15,	1460937472
21:07:26,	1460937448
21:07:36,	1460937440
21:07:46,	1460935584
21:07:56,	1460935576
21:08:06,	1460935592
21:08:16,	1460934728
21:08:26,	1460934712
21:08:36,	1460934720
21:08:46,	1460932432
21:08:56,	1460932416
21:09:06,	1460933896
21:09:16,	1460931568
21:09:26,	1460931560
21:09:36,	1460931416
21:09:46,	1460929144
21:09:56,	1460929128
21:10:06,	1460929144
21:10:16,	1460928968
21:10:26,	1460933232
21:10:36,	1460933200
21:10:46,	1460921776
21:10:56,	1460921816
21:11:06,	1460921816
21:11:16,	1460923368
21:11:26,	1460923088
21:11:36,	1460923344
21:11:46,	1460922560
21:11:56,	1460922432
21:12:06,	1460922440
21:12:16,	1460922248
21:12:26,	1460922240
21:12:36,	1460922224
21:12:46,	1460921776
21:12:56,	1460921768
21:13:06,	1460921768
21:13:16,	1460919616
21:13:26,	1460919592
